"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-03-31",,,,,"0.45",,,,,,,,,,,,,
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-04-01",,,,,"0.20",,,,,,,,,,,,,
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-04-27",,,,,"0.96",,,,,,,,,,,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-01","5.14",,,,"0.00",,,,"48","6","  360","  360","13.0","17.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-02","4.70",,,,"0.00",,,,"41","11","  270","  270","12.1","12.1","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-03","6.93",,,,"0.00",,,,"37","6","  150","  170","19.9","25.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-04","10.74",,,,"0.00",,,,"28","23","  160","  140","21.0","27.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-05","9.62",,,,"0.00",,,,"39","16","  330","  330","19.9","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-06","10.74",,,,"0.00",,,,"36","10","  300","  300","21.0","28.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-07","5.82",,,,"0.00",,,,"34","9","  340","  350","19.9","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-08","15.88",,,,"0.00",,,,"20","0","  340","  340","29.1","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-09","9.62",,,,"0.00",,,,"40","-1","  270","  260","21.9","29.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-10","10.74",,,,"0.01",,,,"39","10","  300","  300","29.1","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-11","12.53",,,,"0.07",,,,"21","-9","   20","   20","23.0","30.0","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-12","10.74",,,,"0.00",,,,"2","-17","   10","  360","21.9","28.0","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-13","14.32",,,,"0.00",,,,"-11","-21","  310","  310","23.0","30.0",,,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-14","5.82",,,,"0.03",,,,"-1","-23","   20","   30","13.0","17.0",,,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-15","14.76",,,,"0.03",,,,"-5","-19","  310","  310","25.1","32.0","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-16",,,,,"0.00",,,,"-14","-18",,,,,,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-17","2.91",,,,"0.01",,,,"27","12","  150","  150","8.1","8.9","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-18","13.42",,,,"0.00",,,,"30","-2","  340","  340","38.9","50.1","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-19","6.93",,,,"0.00",,,,"17","-13","  290","  300","15.0","18.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-20","14.32",,,,"0.00",,,,"20","-5","  160","  160","25.1","33.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-21","8.50",,,,"0.00",,,,"47","10","  270","  250","19.9","25.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-22","4.03",,,,"0.00",,,,"50","14","  250","  220","8.9","11.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-23","7.61",,,,"0.00",,,,"49","18","  160","  170","15.0","19.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-24","4.25",,,,"0.00",,,,"50","19","  300","  300","12.1","13.0","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-25","5.14",,,,"0.00",,,,"50","19","  280","  310","12.1","15.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-26","6.04",,,,"0.00",,,,"45","20","  350","  350","14.1","18.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-27","4.70",,,,"0.00",,,,"48","18","  270","  270","12.1","14.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-28","10.96",,,,"0.00",,,,"57","21","  300","  300","21.9","28.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-29","10.51",,,,"0.00",,,,"59","27","  310","  310","21.9","28.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-30","7.16",,,,"0.00",,,,"61","24","  300","  300","14.1","18.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-31","6.04",,,,"0.00",,,,"65","21","  250","  240","12.1","16.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-01","4.47",,,,"0.00",,,,"61","21","   90","   80","12.1","12.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-02","10.29",,,,"0.00",,,,"50","30","  140","  140","19.9","25.9","    1","    1",,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-03","9.17",,,,"0.28",,,,"42","36","  120","  120","19.9","27.1","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-04","3.58",,,,"0.10",,,,"50","25","  170","  290","10.1","13.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-05","8.28",,,,"0.00",,,,"55","20","  200","  200","21.9","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-06","4.03",,,,"0.00",,,,"55","24","  150","  150","16.1","19.9","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-07","6.04",,,,"0.00",,,,"48","30","  260","  260","16.1","23.0","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-08","15.43",,,,"0.00",,,,"48","22","  300","  300","33.1","42.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-09","6.71",,,,"0.00",,,,"46","18","  340","  350","16.1","21.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-10","5.82",,,,"0.35",,,,"28","21","   60","   70","13.0","16.1","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-11","6.49",,,,"0.00",,,,"37","-2","  280","  280","14.1","17.0","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-12","4.92",,,,"0.00",,,,"45","10","  270","  260","12.1","14.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-13","7.61",,,,"0.00",,,,"48","19","  260","  290","14.1","17.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-14","10.51",,,,"0.00",,,,"34","23","  340","  330","21.9","28.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-15","12.30",,,,"0.25",,,,"34","16","   40","   40","21.0","27.1","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-16","8.50",,,,"0.03",,,,"18","-11","   40","   30","17.0","19.9","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-17","11.86",,,,"0.00",,,,,,"  290","  280","21.9","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-18","5.82",,,,"0.00",,,,,,"  180","  260","15.0","19.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-19","9.40",,,,"0.00",,,,,,"  290","  280","19.9","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-20","7.61",,,,"0.00",,,,"63","29","  300","  300","21.9","32.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-21","7.83",,,,"0.08",,,,,,"  260",,"14.1",,,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-22","10.51",,,,"0.00",,,,"54","27","  330","  330","23.9","32.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-23","14.32",,,,"0.00",,,,"53","24","  300","  290","31.1","40.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-24","14.32",,,,"0.00",,,,"58","21","  280","  290","31.1","40.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-25","14.99",,,,"0.00",,,,"63","30","  280","  270","29.1","38.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-26","19.24",,,,"0.00",,,,"64","29","  270","  260","45.0","61.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-27","14.32",,,,"0.02",,,,"34","3","   20","   20","28.0","35.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-28","10.29",,,,"0.00",,,,"48","1","  280","  270","23.9","32.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-29","12.75",,,,"0.00",,,,"63","19","  260","  260","31.1","38.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-01","11.18",,,,"0.00",,,,"67","23","  260","  270","30.0","38.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-02","8.28",,,,"0.00",,,,"69","22","  310","  320","32.0","42.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-03","17.67",,,,"0.00",,,,"51","32","  290","  270","35.1","42.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-04","9.62",,,,"0.04",,,,"45","21","  200","  200","29.1","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-05","13.42",,,,"0.00",,,,"47","15","  170","  170","21.0","28.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-06","12.30",,,,"0.00",,,,"61","26","  320","  280","25.9","40.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-07","12.75",,,,"0.08",,,,"31","22","   60","   60","18.1","23.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-08","6.93",,,,"0.00",,,,"41","19","  330","  310","14.1","21.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-09","8.05",,,,"0.00",,,,"54","13","  250","  240","18.1","23.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-10","12.30",,,,"0.00",,,,"65","19","  270","  270","32.0","40.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-11","8.50",,,,"0.00",,,,"63","21","  280","  290","23.9","30.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-12","10.96",,,,"0.00",,,,"62","28","  270","  270","23.0","31.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-13","8.05",,,,"0.05",,,,"47","33","  280","   80","16.1","19.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-14","17.67",,,,"0.00",,,,"47","25","   30","   10","32.0","42.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-15","8.95",,,,"0.00",,,,"52","16","  220","  210","21.9","29.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-16","8.05",,,,"0.00",,,,"54","19","  330","  340","18.1","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-17","10.29",,,,"0.00",,,,"47","13","  350","  350","23.0","32.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-18","7.16",,,,"0.00",,,,"63","11","  280","  320","14.1","19.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-19","7.61",,,,"0.00",,,,"66","22","   10","  330","19.9","29.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-20","13.65",,,,"0.00",,,,"55","22","  170","  170","28.0","36.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-21","10.51",,,,"0.00",,,,"71","26","  350","  350","35.1","49.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-22","10.74",,,,"0.00",,,,"47","20","   70","   70","21.9","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-23","18.12",,,,"0.09",,,,"40","23","  130","  110","28.0","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-24","15.66",,,,"0.01",,,,"35","19","  350","  360","29.1","40.0","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-25","21.92",,,,"0.00",,,,"26","13","  350","  350","32.0","42.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-26","7.83",,,,"0.00",,,,"44","5","  350","  330","15.0","23.0",,,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-27","8.72",,,,"0.00",,,,"55","9","  310","  310","23.9","36.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-28","9.40",,,,"0.00",,,,"67","20","  230","  220","23.0","34.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-29","8.05",,,,"0.00",,,,"54","27","  360","  350","17.0","21.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-30","9.40",,,,"0.25",,,,"54","24","  130","  130","23.9","30.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-31","13.42",,,,"0.05",,,,"58","33","   90","   90","23.9","33.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-01","11.86",,,,"0.04",,,,"40","28","  350","  350","21.9","29.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-02","14.32",,,,"0.00",,,,"61","25","  340","  340","31.1","42.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-03","5.82",,,,"0.00",,,,"68","20","  340","  340","17.0","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-04","12.30",,,,"0.00",,,,"74","31","  130","  140","23.9","34.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-05","23.71",,,,"0.00",,,,"67","40","  140","  140","38.0","49.0",,,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-06","21.25",,,,,,,,"54","33","  310","  310","35.1","51.0","    1",,"    1",
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-07","24.61",,,,,,,,"39","32","  310","  310","40.0","55.9","    1",,"    1","    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-08","17.22",,,,"0.00",,,,"49","27","  300","  310","33.1","42.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-09","8.05",,,,"0.00",,,,"61","22","  330","  280","19.9","25.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-10","15.88",,,,"0.00",,,,"58","28","  330","  320","31.1","42.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-11","8.72",,,,"0.00",,,,"58","21","  310","  320","21.0","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-12","9.17",,,,"0.00",,,,"77","27","  160","  160","25.1","31.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-13","8.72",,,,"0.00",,,,"83","36","  290","  280","19.9","33.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-14","10.74",,,,"0.00",,,,"81","33","  160","  130","19.9","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-15","21.25",,,,"0.00",,,,"83","51","  270","  280","42.9","55.9",,,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-16","21.25",,,,"0.06",,,,"65","33","  310","  330","45.0","65.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-17","9.84",,,,"0.15",,,,"60","27","  340","  340","29.1","44.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-18","12.08",,,,"0.01",,,,"47","23","  340","  310","23.9","36.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-19","7.61",,,,"0.00",,,,"47","21","   30","   30","21.9","30.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-20","3.80",,,,"0.00",,,,"42","14","  210","  200","10.1","15.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-21","10.51",,,,"0.00",,,,"62","16","  200","  170","21.9","32.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-22","9.84",,,,"0.00",,,,"67","40","   10","   10","25.9","34.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-23","8.28",,,,"0.00",,,,"63","34","  360","  340","19.9","27.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-24","19.24",,,,"0.00",,,,"74","40","  170","  170","33.1","44.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-25","14.09",,,,"0.27",,,,"69","41","  170","  170","31.1","42.9","    1",,"    1",
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-26","12.97",,,,"0.21",,,,"63","44","  300","  340","29.1","42.1","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-27","15.66",,,,"0.10",,,,"47","40","   40","   20","29.1","38.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-28","7.38",,,,"0.17",,,,"49","30","   30","   30","13.0","18.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-29","10.07",,,,"0.00",,,,"69","28","  260","  260","21.0","29.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-30","15.88",,," 1136","0.00",,,,"63","38","  280","  300","36.0","48.1",,,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-01",,,,,"0.00","0.0",,,,,,,,,,,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-02",,,,,"0.00","0.0",,,,,,,,,,,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-03",,,,,"0.00","0.0",,,,,,,,,,,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-04",,,,,"0.00","0.0",,,,,,,,,,,,
